2024-04-26 15:25:09  | User: manager1    | User Deleted     
2024-04-26 15:25:19  | User: manager1    | User Edited      
2024-04-26 15:28:43  | User: manager1    | User Added       
2024-04-26 15:29:56  | User: manager1    | User logged in   
2024-04-26 15:31:46  | User: manager1    | User logged in   
2024-04-26 16:40:19  | User: UNKNOWN     | Login attempt failed
2024-04-26 17:08:21  | User: UNKNOWN     | Failed account creation
2024-04-26 17:08:38  | User: UNKNOWN     | Failed account creation
2024-04-26 17:31:32  | User: UNKNOWN     | Failed account creation
2024-04-26 17:31:37  | User: UNKNOWN     | Login attempt failed
2024-04-26 17:47:44  | User: manager1    | User logged in   
2024-04-26 17:54:28  | User: manager1    | User logged in   
2024-04-26 17:55:57  | User: manager1    | User Deleted     
2024-04-26 23:51:36  | User: manager1    | Bed Assigned to User
2024-04-27 00:44:09  | User: ss          | User logged in   
2024-04-27 00:56:07  | User: ss          | User logged in   
2024-04-28 01:01:30  | User: ss          | User logged in   
2024-04-28 01:02:51  | User: 000         | User logged in   
2024-04-28 14:16:21  | User: user1       | User logged in   
2024-04-28 14:18:45  | User: manager1    | User logged in   
2024-04-28 14:18:56  | User: manager1    | User Edited      
2024-04-28 14:19:08  | User: user1       | User logged in   
2024-04-28 14:19:34  | User: manager1    | User logged in   
2024-04-28 14:19:43  | User: manager1    | User Edited      
2024-04-28 14:20:15  | User: manager1    | User Edit Failed 
2024-04-28 14:20:32  | User: user1       | User logged in   
2024-04-28 14:21:44  | User: user1       | User logged in   
2024-04-28 14:22:08  | User: user1       | User logged in   
2024-04-28 14:27:48  | User: user1       | User user1 enrolled in the volunteer scheme
2024-04-28 14:32:06  | User: user1       | User user1 assigned to house 2
2024-04-28 14:56:46  | User: user1       | User user1 enrolled in task 7
2024-04-28 18:52:04  | User: user1       | User logged in   
2024-04-28 19:07:44  | User: ss          | User logged in   
2024-04-29 15:55:12  | User: manager1    | User logged in   
2024-04-29 15:56:34  | User: manager1    | User logged in   
2024-04-29 16:02:15  | User: manager1    | Booking Edited   
2024-04-29 16:02:19  | User: manager1    | Booking Edited   
2024-04-29 16:02:24  | User: manager1    | Booking Edited   
2024-04-29 16:02:44  | User: bigsuzie    | User logged in   
2024-04-29 16:03:45  | User: manager1    | User logged in   
2024-04-29 16:04:19  | User: manager1    | User Deleted     
2024-04-29 16:04:53  | User: bigsuzie    | User logged in   
2024-04-29 16:26:18  | User: manager1    | User logged in   
2024-04-29 16:26:40  | User: manager1    | User Deleted     
2024-04-29 17:36:54  | User: bigsuzie    | User logged in   
2024-04-29 17:37:03  | User: manager1    | User logged in   
2024-04-29 18:05:30  | User: manager1    | User Edit Failed 
2024-04-29 18:06:03  | User: manager1    | User Edited      
2024-04-29 18:07:16  | User: manager1    | User Edit Failed 
2024-04-29 23:01:24  | User: manager1    | Login attempt failed
2024-04-29 23:18:08  | User: manager1    | Login attempt failed
2024-04-29 23:23:20  | User: manager1    | Login attempt failed
2024-04-29 23:27:24  | User: manager1    | Login attempt failed
2024-04-30 00:05:52  | User: user1       | User logged in   
2024-04-30 00:08:23  | User: user1       | User logged in   
2024-04-30 00:15:14  | User: user1       | User logged in   
2024-04-30 00:15:21  | User: manager1    | User logged in   
2024-04-30 00:16:45  | User: manager1    | User logged in   
2024-04-30 00:17:48  | User: manager1    | User logged in   
2024-04-30 00:18:03  | User: user1       | User logged in   
2024-04-30 00:18:46  | User: manager1    | User logged in   
2024-04-30 00:19:43  | User: user1       | User logged in   
